Handle,Title,Option1 Value,Variant Price,Variant Inventory Qty,Variant Grams,Tags
anarkali-chikankari,Lucknowi Chikankari Anarkali Kurta,M,2499.00,7,350,"ethnic, festive, handwork"
banarasi-silk-dupatta,Banarasi Silk Dupatta - Maroon Zari,Free Size,1150.00,12,180,"ethnic, wedding"
mens-nehru-jacket,Men's Nehru Jacket Jute Blend,L,1899.00,5,420,"ethnic, mens"
cotton-palazzo,High Waist Cotton Palazzo,XL,749.00,18,260,"casual, womens"
ajrakh-saree,Ajrakh Hand Block Print Mul Saree,Free Size,3250.00,4,410,"ethnic, handloom, saree"
kids-dhoti-kurta,Kids Dhoti Kurta Set (2-3y),2-3Y,999.00,9,210,"kids, festive"
linen-shirt-white,Pure Linen Shirt - White,42,1599.00,11,240,"formal, mens"
bandhani-dupatta,Bandhani Georgette Dupatta,Free Size,650.00,15,120,"ethnic"
denim-jeggings,Stretch Denim Jeggings,30,899.00,21,380,"casual, womens"
kolhapuri-chappal,Kolhapuri Leather Chappal,9,1250.00,6,300,"accessories, handcrafted"
