Item Description,MRP (Incl. GST),Pack Of,Qty Avail,HSN
boAt Type-C braided cable 1.5 mtr fast charge,Rs 299,1 pc,40,8544
Mi 20000mAh power bank 18W,1699/-,1,15,8507
JBL C100SI wired earphone with mic,749,1 nos,28,8518
SanDisk Ultra 128 GB microSD card A1,Rs. 1099,1 pc,33,8523
Portronics 4-port USB hub 3.0,545,1,12,8471
Zebronics ZEB-K20 USB keyboard hindi+english,449,1 pc,25,8471
Ambrane 33W dual port wall charger,599,1 nos,30,8504
Tempered glass redmi note 13 pack of 2,199,2 pcs,55,7007
HP v236w 64gb pendrive,Rs 479,1,42,8523
D-Link CAT6 patch cord 3 meter,165,1 pc,60,8544
