saman,bhav,quantity,stock me,gst %,note
Aashirvaad atta shudh 10kg,Rs. 435/-,10 kg bag,14 bag,5,chakki fresh
Fortune kachi ghani sarson tel 1L,168,1 litre bottle,30,5,
daawat rozana basmati 5 kilo,Rs 389,5kg,9,5,old crop
Tata namak,28,1 kg packet,60,5,iodised
maggi 2-min noodles 12 pack,Rs. 132,12 x 70g,22,12,
Parle-G biscuit family pack,80,800 gm,45,18,
amul taaza doodh 1l tetra,74,1 L,26,5,
madhur cheeni,45,1kg,80 kg,5,
MDH deggi mirch 100gm dabba,76,100 g,17,5,
toor daal desi,Rs.148 kilo,1 kg,35,0,loose
haldiram bhujia 400g,95,400 gm,19,12,
red label chai patti 500gm,290,500 g,11,5,
