Product Name,MRP,Qty Unit,Available,Tax %,Description
gehu ka atta,Rs 233,kg,yes,0,Wheat Atta — Chakki fresh
दही,Rs 37,400 gram,8,0 %,Curd — Set curd
CHANA DAL,95.00,1 kg,in stock,0 %,Chana Dal — Bold grain
Ghee,709.00,,8,12%,"Ghee — Cow ghee, granular"
Poha,Rs 68,1kg,40,0,Poha — Thick variety
Basmati Rice (basmati chawal),100.00,1 kg,0,5 %,"Basmati Rice — Long grain, aged 12 months"
Toor Dal (arhar dal),149,,8,0,Toor Dal — Unpolished
JAGGERY,76.00,1 kg,yes,0,Jaggery — Chemical-free
almonds,Rs 215,,yes,5,Almonds — California
Red Chilli Powder (lal mirch),74,200 gram,15,5%,Red Chilli Powder — Guntur
Coffee Powder (filter coffee),194,,yes,18 %,Coffee Powder — 80:20 chicory blend
Rajma,170,,0,0 %,Rajma — Chitra
Milk,Rs 65,litre,8,0%,Milk — Toned
Mustard Oil,Rs 173,1l,25,5,Mustard Oil — Kachi ghani
Cashew (kaju),Rs 271,250 gm,25,5,Cashew — W320 grade
chai patti,₹129,250 gm,8,,Tea Leaves — Assam CTC
मूंग दाल,146,Kg,yes,,"Moong Dal — Split, yellow"
Sugar,₹44,1kg,in stock,5,Sugar — Sulphur-free
