naam,rate,unit,stock,gst,Description
Rajma,174,kilo,80,,Rajma — Chitra
gud,Rs 83,kg,0,0%,Jaggery — Chemical-free
सरसों तेल,Rs 190,1 L,15,5,Mustard Oil — Kachi ghani
MILK,Rs 69,1l,3,0,Milk — Toned
Tea Leaves,₹109,250 gm,yes,5%,Tea Leaves — Assam CTC
Wheat Atta (gehu ka atta),263,kilo,15,0%,Wheat Atta — Chakki fresh
SALT,Rs 27,1kg,8,0,Salt — Iodised
RED CHILLI POWDER,73,200g,80,5 %,Red Chilli Powder — Guntur
Poha,₹62,Kg,80,0%,Poha — Thick variety
Basmati Rice,108,Kg,3,5%,"Basmati Rice — Long grain, aged 12 months"
haldi,73,200g,0,,Turmeric Powder — High curcumin
Sunflower Oil,Rs 149,1l,in stock,5%,"Sunflower Oil — Refined, low absorb"
Toor Dal (arhar dal),164.00,1 kg,80,0%,Toor Dal — Unpolished
Sugar,₹46,Kg,8,5%,Sugar — Sulphur-free
Cashew,Rs 266,250g,150,5%,Cashew — W320 grade
दही,36.00,400 gm,25,0,Curd — Set curd
filter coffee,Rs. 200/-,200 gm,40,18,Coffee Powder — 80:20 chicory blend
घी,₹642,1l,25,12,"Ghee — Cow ghee, granular"
Besan,Rs 86,1 kg,8,5,Besan — Fine
