Item,Price,Unit,Stock,GST,Description
dahi,Rs. 43/-,400 gm,25,0 %,Curd — Set curd
Tea Leaves (chai patti),₹111,250 gram,0,5,Tea Leaves — Assam CTC
Salt (namak),Rs 21,kilo,yes,0 %,Salt — Iodised
Chana Dal,101.00,1 kg,80,0%,Chana Dal — Bold grain
Poha (chivda),64.00,kg,15,0 %,Poha — Thick variety
Turmeric Powder,Rs. 65/-,,3,5%,Turmeric Powder — High curcumin
Ghee (desi ghee),657,1 L,80,12,"Ghee — Cow ghee, granular"
Besan,Rs. 81/-,Kg,40,,Besan — Fine
Sugar (cheeni),44,1kg,0,5 %,Sugar — Sulphur-free
doodh,Rs 69,1l,y,,Milk — Toned
Almonds,236,250 gram,80,5%,Almonds — California
Coffee Powder,Rs. 206/-,200 gm,80,18 %,Coffee Powder — 80:20 chicory blend
arhar dal,147.00,kg,0,,Toor Dal — Unpolished
mustard oil,201,1 L,40,5,Mustard Oil — Kachi ghani
बासमती चावल,₹109,1 kg,25,5,"Basmati Rice — Long grain, aged 12 months"
Red Chilli Powder,₹88,200g,150,5%,Red Chilli Powder — Guntur
cashew,273,250 gm,15,5%,Cashew — W320 grade
Wheat Atta,₹241,kg,8,,Wheat Atta — Chakki fresh
moong dal,Rs 129,1 kg,8,0%,"Moong Dal — Split, yellow"
sunflower oil,Rs 151,,80,5%,"Sunflower Oil — Refined, low absorb"
