Item,Price,Unit,Stock,GST,Description
Curd,₹45,400 gm,25,,Curd — Set curd
Mustard Oil (sarson ka tel),178,ltr,150,5,Mustard Oil — Kachi ghani
Turmeric Powder,Rs. 63/-,200 gram,80,5%,Turmeric Powder — High curcumin
filter coffee,Rs 163,200 gm,150,18%,Coffee Powder — 80:20 chicory blend
पोहा,Rs 65,kg,150,0%,Poha — Thick variety
besan,Rs. 86/-,kilo,25,5,Besan — Fine
cheeni,43.00,kilo,15,5%,Sugar — Sulphur-free
ALMONDS,Rs. 224/-,250g,25,5,Almonds — California
Tea Leaves (chai patti),₹128,250 gm,3,5,Tea Leaves — Assam CTC
Cashew (kaju),₹291,250 gm,0,5%,Cashew — W320 grade
Wheat Atta,Rs. 223/-,kg,150,0%,Wheat Atta — Chakki fresh
chane ki dal,90,Kg,8,0%,Chana Dal — Bold grain
JAGGERY,Rs. 68/-,kg,40,0,Jaggery — Chemical-free
Toor Dal (arhar dal),Rs. 158/-,1 kg,40,0 %,Toor Dal — Unpolished
Rajma,168,1kg,25,0,Rajma — Chitra
lal mirch,Rs 82,200 gm,25,5 %,Red Chilli Powder — Guntur
Milk,65.00,ltr,150,0%,Milk — Toned
SALT,Rs 21,Kg,80,0%,Salt — Iodised
desi ghee,689.00,,150,12%,"Ghee — Cow ghee, granular"
