ITEM NAME,RATE (Rs),PACK,IN STOCK,GST%,Description
Besan,Rs. 93/-,kg,15,5,Besan — Fine
Tea Leaves,116.00,,15,5,Tea Leaves — Assam CTC
Cashew,Rs 257,250 gm,25,5%,Cashew — W320 grade
Curd (dahi),39,400 gm,8,0,Curd — Set curd
Salt,Rs 26,kg,25,0 %,Salt — Iodised
Wheat Atta (gehu ka atta),Rs 224,5 kg,15,0 %,Wheat Atta — Chakki fresh
Coffee Powder,Rs 194,200 gram,3,,Coffee Powder — 80:20 chicory blend
arhar dal,157,kg,80,0,Toor Dal — Unpolished
Almonds (badam),241,250 gram,80,5%,Almonds — California
Basmati Rice (basmati chawal),₹125,1 kg,40,5,"Basmati Rice — Long grain, aged 12 months"
rajma,167.00,Kg,15,0%,Rajma — Chitra
पोहा,Rs 56,Kg,15,,Poha — Thick variety
चीनी,43,Kg,0,5%,Sugar — Sulphur-free
GHEE,Rs 607,1 L,,12%,"Ghee — Cow ghee, granular"
sarson ka tel,₹172,1l,80,5 %,Mustard Oil — Kachi ghani
Moong Dal,Rs 139,1 kg,80,0,"Moong Dal — Split, yellow"
lal mirch,₹84,,8,5%,Red Chilli Powder — Guntur
chane ki dal,86,1kg,15,0,Chana Dal — Bold grain
