Product Name,MRP,Qty Unit,Available,Tax %,Description
sports bra,Rs 655,nos,40,5,Sports Bra — Medium support
Hoodie,Rs 1112,,40,12 %,Hoodie — Fleece
frock,Rs. 603/-,nos,25,,Kids' Frock — Soft cotton
leggings,Rs 290,piece,80,5,Leggings — 4-way stretch
kurti,Rs 739,1 pc,40,5%,Kurti — Straight cut
Denim Jeans,₹1482,pcs,,12 %,Denim Jeans — Stretch
Cotton Socks (3 pk) (socks),Rs 257,3 pcs pack,15,12 %,Cotton Socks (3 pk) — Ankle length
शॉर्ट्स,441.00,,40,5,Cotton Shorts — Drawstring
दुपट्टा,336,nos,,5%,Dupatta — Chiffon
nehru jacket,1941,pcs,25,,Nehru Jacket — Jacquard
Woollen Shawl (shawl),₹1173,piece,150,5,Woollen Shawl — Kullu weave
lehenga,3995,piece,3,12%,Lehenga Set — Semi-stitched
Salwar Suit Set,Rs 2172,1 pc,40,12 %,Salwar Suit Set — Unstitched
shirt,₹915,pcs,40,5,Formal Shirt — Wrinkle-free
Kids' Kurta Pyjama,771,,15,5,Kids' Kurta Pyjama — Set of 2
Cotton Kurta,₹972,nos,150,5 %,Cotton Kurta — 100% cotton
Cotton Saree,1582,pc,80,5 %,Cotton Saree — Handloom
Men's T-Shirt (tshirt),Rs 506,1 pc,0,5,Men's T-Shirt — Bio-washed
Women's Palazzo,Rs 672,1 pc,25,,Women's Palazzo — Rayon
