naam,rate,unit,stock,gst,Description
Cotton Kurta,961,nos,,5%,Cotton Kurta — 100% cotton
नेहरू जैकेट,1983,pc,25,12,Nehru Jacket — Jacquard
Hoodie (hoodie),1238.00,piece,40,12 %,Hoodie — Fleece
lower,786.00,piece,3,,Track Pants — Dry-fit
SALWAR SUIT SET,Rs 2021,pcs,8,12,Salwar Suit Set — Unstitched
Leggings,320.00,piece,40,5 %,Leggings — 4-way stretch
Men's T-Shirt (tshirt),547.00,pcs,,5%,Men's T-Shirt — Bio-washed
socks,Rs 264,3 pcs pack,y,12 %,Cotton Socks (3 pk) — Ankle length
Lehenga Set,Rs. 4337/-,pc,0,12 %,Lehenga Set — Semi-stitched
Kids' Frock,618,nos,80,5 %,Kids' Frock — Soft cotton
Denim Jeans,₹1427,1 pc,25,12,Denim Jeans — Stretch
बच्चों का कुर्ता,Rs 900,nos,8,5,Kids' Kurta Pyjama — Set of 2
WOOLLEN SHAWL,Rs 1235,1 pc,8,5,Woollen Shawl — Kullu weave
Cotton Shorts,₹451,1 pc,0,5,Cotton Shorts — Drawstring
sports bra,₹544,,3,5 %,Sports Bra — Medium support
साड़ी,Rs 1375,pc,150,5 %,Cotton Saree — Handloom
Kurti (kurti),772.00,piece,8,5%,Kurti — Straight cut
dupatta,Rs 322,pc,3,5 %,Dupatta — Chiffon
Women's Palazzo,Rs. 729/-,pcs,40,,Women's Palazzo — Rayon
Formal Shirt,Rs 921,pcs,15,5,Formal Shirt — Wrinkle-free
