Product Name,MRP,Qty Unit,Available,Tax %,Description
nehru jacket,1937.00,pcs,3,12,Nehru Jacket — Jacquard
kids kurta,Rs 756,piece,0,,Kids' Kurta Pyjama — Set of 2
Salwar Suit Set (suit),Rs 1874,pc,40,12%,Salwar Suit Set — Unstitched
hoodie,1126.00,,in stock,12 %,Hoodie — Fleece
denim jeans,1180.00,pc,yes,12,Denim Jeans — Stretch
Kurti,Rs 843,pc,25,5,Kurti — Straight cut
Track Pants (lower),Rs. 733/-,pcs,80,5,Track Pants — Dry-fit
leggings,280.00,pcs,15,5 %,Leggings — 4-way stretch
COTTON SOCKS (3 PK),Rs. 261/-,pkt/3,3,12,Cotton Socks (3 pk) — Ankle length
Sports Bra,Rs 678,nos,15,5%,Sports Bra — Medium support
Women's Palazzo (palazzo),Rs 733,piece,80,5%,Women's Palazzo — Rayon
WOOLLEN SHAWL,1462.00,nos,40,5%,Woollen Shawl — Kullu weave
Kids' Frock,Rs 604,nos,0,5%,Kids' Frock — Soft cotton
cotton saree,₹1364,nos,yes,5%,Cotton Saree — Handloom
MEN'S T-SHIRT,₹506,pc,150,,Men's T-Shirt — Bio-washed
Cotton Shorts,Rs. 414/-,1 pc,8,5 %,Cotton Shorts — Drawstring
kurta,₹836,pc,8,,Cotton Kurta — 100% cotton
Formal Shirt (shirt),Rs. 1006/-,,,5,Formal Shirt — Wrinkle-free
dupatta,Rs 344,pc,3,5%,Dupatta — Chiffon
