Item,Price,Unit,Stock,GST,Description
Kids' Frock,₹642,piece,0,5 %,Kids' Frock — Soft cotton
Women's Palazzo (palazzo),Rs 687,1 pc,25,5,Women's Palazzo — Rayon
cotton shorts,Rs. 440/-,pcs,150,5,Cotton Shorts — Drawstring
KURTI,Rs 704,1 pc,15,,Kurti — Straight cut
Kids' Kurta Pyjama,Rs 845,1 pc,15,5%,Kids' Kurta Pyjama — Set of 2
sports bra,Rs 560,,40,5,Sports Bra — Medium support
Denim Jeans (jeans),Rs 1280,1 pc,8,12%,Denim Jeans — Stretch
Woollen Shawl,Rs 1461,1 pc,0,5 %,Woollen Shawl — Kullu weave
Cotton Kurta,905.00,,150,5 %,Cotton Kurta — 100% cotton
nehru jacket,1694,pcs,,12%,Nehru Jacket — Jacquard
lehenga,Rs. 4079/-,nos,0,12%,Lehenga Set — Semi-stitched
lower,Rs. 758/-,pcs,0,5 %,Track Pants — Dry-fit
Leggings,₹293,1 pc,8,5,Leggings — 4-way stretch
dupatta,373,pcs,80,5%,Dupatta — Chiffon
tshirt,Rs 474,,8,5 %,Men's T-Shirt — Bio-washed
Salwar Suit Set,Rs. 2158/-,pc,y,12%,Salwar Suit Set — Unstitched
hoodie,Rs 1114,nos,3,12 %,Hoodie — Fleece
formal shirt,1086,,40,5 %,Formal Shirt — Wrinkle-free
Cotton Socks (3 pk),₹229,pkt/3,8,12%,Cotton Socks (3 pk) — Ankle length
