naam,rate,unit,stock,gst,Description
Hoodie,1161.00,pcs,in stock,12%,Hoodie — Fleece
Kids' Frock (frock),Rs 582,pcs,40,5 %,Kids' Frock — Soft cotton
Sports Bra,675.00,pc,8,5 %,Sports Bra — Medium support
Women's Palazzo (palazzo),734,pc,150,5%,Women's Palazzo — Rayon
Salwar Suit Set,₹2050,pc,0,12%,Salwar Suit Set — Unstitched
shawl,Rs 1200,nos,8,5,Woollen Shawl — Kullu weave
Cotton Saree (saree),1678.00,pcs,150,5 %,Cotton Saree — Handloom
track pants,791.00,1 pc,8,5%,Track Pants — Dry-fit
cotton kurta,926,1 pc,3,5,Cotton Kurta — 100% cotton
Leggings,306,1 pc,80,5%,Leggings — 4-way stretch
dupatta,Rs 349,1 pc,25,5%,Dupatta — Chiffon
Cotton Shorts,Rs. 467/-,pc,40,5,Cotton Shorts — Drawstring
Men's T-Shirt (tshirt),Rs. 560/-,piece,150,5 %,Men's T-Shirt — Bio-washed
modi jacket,2023.00,piece,in stock,12%,Nehru Jacket — Jacquard
जींस,1373.00,1 pc,25,12 %,Denim Jeans — Stretch
kurti,₹707,pc,8,5,Kurti — Straight cut
Kids' Kurta Pyjama,751,nos,80,,Kids' Kurta Pyjama — Set of 2
Cotton Socks (3 pk) (socks),255,,in stock,12,Cotton Socks (3 pk) — Ankle length
Lehenga Set,4535.00,pc,80,12,Lehenga Set — Semi-stitched
