ITEM NAME,RATE (Rs),PACK,IN STOCK,GST%,Description
Women's Palazzo,Rs. 604/-,piece,8,5 %,Women's Palazzo — Rayon
फ्रॉक,671.00,,40,5,Kids' Frock — Soft cotton
Men's T-Shirt (tshirt),Rs. 552/-,nos,y,5,Men's T-Shirt — Bio-washed
कुर्ती,712,1 pc,3,5,Kurti — Straight cut
WOOLLEN SHAWL,Rs. 1226/-,nos,80,5,Woollen Shawl — Kullu weave
LEHENGA SET,Rs. 4521/-,pc,25,,Lehenga Set — Semi-stitched
Denim Jeans (jeans),Rs 1174,1 pc,8,12 %,Denim Jeans — Stretch
leggings,Rs. 341/-,1 pc,8,5%,Leggings — 4-way stretch
सलवार सूट,₹1940,pc,150,12,Salwar Suit Set — Unstitched
ट्रैक पैंट,Rs 792,pcs,15,5%,Track Pants — Dry-fit
sports bra,559.00,piece,150,5%,Sports Bra — Medium support
kids kurta,₹857,piece,40,5,Kids' Kurta Pyjama — Set of 2
shirt,Rs 1097,pc,25,5 %,Formal Shirt — Wrinkle-free
COTTON SOCKS (3 PK),₹227,,3,12,Cotton Socks (3 pk) — Ankle length
Hoodie,Rs. 1262/-,1 pc,25,12%,Hoodie — Fleece
Cotton Kurta,₹936,pcs,3,5,Cotton Kurta — 100% cotton
Cotton Shorts,459,piece,0,5%,Cotton Shorts — Drawstring
Cotton Saree (saree),1665.00,nos,yes,5,Cotton Saree — Handloom
Dupatta,Rs 386,pc,25,5%,Dupatta — Chiffon
