ITEM NAME,RATE (Rs),PACK,IN STOCK,GST%,Description
Lehenga Set,Rs. 3788/-,pcs,8,12 %,Lehenga Set — Semi-stitched
denim jeans,₹1412,pcs,80,12,Denim Jeans — Stretch
tshirt,Rs 572,pc,3,5,Men's T-Shirt — Bio-washed
shorts,Rs. 461/-,,yes,5%,Cotton Shorts — Drawstring
Cotton Socks (3 pk) (socks),₹285,pack of 3,8,12,Cotton Socks (3 pk) — Ankle length
Dupatta,Rs 375,piece,0,5,Dupatta — Chiffon
modi jacket,₹2057,nos,8,12 %,Nehru Jacket — Jacquard
leggings,Rs 315,1 pc,15,5%,Leggings — 4-way stretch
Kurti (kurti),Rs 812,nos,150,5 %,Kurti — Straight cut
Kids' Frock,664.00,,15,5,Kids' Frock — Soft cotton
पलाज़ो,₹744,piece,0,5,Women's Palazzo — Rayon
Hoodie,1183.00,1 pc,25,,Hoodie — Fleece
sports bra,Rs. 654/-,pc,80,5,Sports Bra — Medium support
Salwar Suit Set,Rs. 2001/-,pcs,,12 %,Salwar Suit Set — Unstitched
Kids' Kurta Pyjama (kids kurta),₹867,piece,0,5 %,Kids' Kurta Pyjama — Set of 2
kurta,Rs 932,,80,5 %,Cotton Kurta — 100% cotton
shirt,Rs 1061,piece,150,5%,Formal Shirt — Wrinkle-free
shawl,1375.00,,80,5%,Woollen Shawl — Kullu weave
