Item,Price,Unit,Stock,GST,Description
earphone,434.00,1 pc,8,18,Wired Earphones — Deep bass
type c cable,Rs. 224/-,,8,18,"USB-C Cable 1m — 60 W, braided"
car charger,487,pc,150,18 %,Car Charger — Dual port
Keyboard,1013,pc,40,18,Keyboard — Compact
hdmi,Rs 372,nos,0,18%,HDMI Cable 2m — 4K 60 Hz
webcam,1631.00,piece,0,18,Webcam 1080p — Auto focus
neckband,₹938,nos,8,18 %,Neckband — Magnetic
Wireless Earbuds (earbuds),1547,piece,80,18 %,Wireless Earbuds — 30 h playtime
Phone Stand (mobile stand),243.00,pc,40,18%,Phone Stand — Foldable
Laptop Sleeve 14in,Rs. 752/-,pc,150,18,Laptop Sleeve 14in — Water resistant
mouse,Rs. 561/-,nos,3,18%,Wireless Mouse — Silent click
pendrive,₹435,nos,150,18 %,Pen Drive 32GB — USB 3.0
Phone Case (cover),204,pcs,3,18 %,Phone Case — Shockproof
extension,662,nos,3,18 %,"Extension Board — 4 socket, surge"
speaker,Rs 2217,piece,15,18,Bluetooth Speaker — IPX7
sd card,Rs 657,pcs,y,18 %,Memory Card 64GB — A1 U3
20W Wall Charger (charger),635,1 pc,8,,20W Wall Charger — PD 3.0
Power Bank 10000mAh,₹1222,pc,40,18 %,Power Bank 10000mAh — 22.5 W
screen guard,Rs 147,piece,yes,18,Tempered Glass — 9H
smart watch strap,Rs. 296/-,1 pc,3,18,Smart Watch Strap — Silicone
