Item,Price,Unit,Stock,GST,Description
Pen Drive 32GB,431.00,piece,0,18 %,Pen Drive 32GB — USB 3.0
Memory Card 64GB,739,pc,15,18,Memory Card 64GB — A1 U3
लैपटॉप स्लीव,Rs 684,piece,150,18%,Laptop Sleeve 14in — Water resistant
hdmi,Rs 364,nos,8,18%,HDMI Cable 2m — 4K 60 Hz
keyboard,Rs. 885/-,1 pc,15,18%,Keyboard — Compact
watch strap,310,nos,25,18 %,Smart Watch Strap — Silicone
Power Bank 10000mAh,Rs. 1075/-,piece,15,,Power Bank 10000mAh — 22.5 W
car charger,Rs. 510/-,pc,25,18%,Car Charger — Dual port
PHONE CASE,₹195,1 pc,40,18%,Phone Case — Shockproof
Neckband,1108,1 pc,15,18 %,Neckband — Magnetic
Wired Earphones (earphone),391.00,pc,150,18%,Wired Earphones — Deep bass
Webcam 1080p,₹1441,piece,8,18%,Webcam 1080p — Auto focus
Wireless Earbuds,1368.00,pcs,0,18,Wireless Earbuds — 30 h playtime
extension board,596,piece,0,18%,"Extension Board — 4 socket, surge"
Bluetooth Speaker (speaker),₹2177,pc,40,18%,Bluetooth Speaker — IPX7
Phone Stand (mobile stand),Rs 265,nos,80,18,Phone Stand — Foldable
20W Wall Charger (charger),Rs. 608/-,,0,18 %,20W Wall Charger — PD 3.0
USB-C Cable 1m,238.00,pcs,,18,"USB-C Cable 1m — 60 W, braided"
