ITEM NAME,RATE (Rs),PACK,IN STOCK,GST%,Description
earbuds,Rs 1623,,3,18%,Wireless Earbuds — 30 h playtime
Laptop Sleeve 14in,Rs 745,1 pc,8,18 %,Laptop Sleeve 14in — Water resistant
wired earphones,₹413,,40,18%,Wired Earphones — Deep bass
20W Wall Charger (charger),Rs 674,1 pc,80,18,20W Wall Charger — PD 3.0
USB-C Cable 1m,Rs. 278/-,1 pc,in stock,18,"USB-C Cable 1m — 60 W, braided"
स्क्रीन गार्ड,Rs 154,nos,y,,Tempered Glass — 9H
PHONE CASE,Rs. 218/-,pcs,8,18 %,Phone Case — Shockproof
neckband,Rs. 1057/-,pc,40,18%,Neckband — Magnetic
Webcam 1080p,1482,1 pc,8,18,Webcam 1080p — Auto focus
WIRELESS MOUSE,Rs 624,1 pc,40,18%,Wireless Mouse — Silent click
power bank,Rs 1062,1 pc,25,18,Power Bank 10000mAh — 22.5 W
Car Charger,410,pc,15,18,Car Charger — Dual port
Smart Watch Strap (watch strap),312.00,pc,80,18 %,Smart Watch Strap — Silicone
PEN DRIVE 32GB,447,pc,25,18%,Pen Drive 32GB — USB 3.0
मेमोरी कार्ड,699.00,pc,8,18%,Memory Card 64GB — A1 U3
Keyboard,908.00,nos,25,18%,Keyboard — Compact
Extension Board,678,1 pc,8,18,"Extension Board — 4 socket, surge"
Phone Stand,260.00,pcs,15,18 %,Phone Stand — Foldable
Bluetooth Speaker (speaker),Rs 2257,nos,15,18,Bluetooth Speaker — IPX7
