naam,rate,unit,stock,gst,Description
keyboard,Rs 884,pcs,150,18%,Keyboard — Compact
20W WALL CHARGER,568,,3,18%,20W Wall Charger — PD 3.0
Laptop Sleeve 14in,Rs. 652/-,nos,25,18,Laptop Sleeve 14in — Water resistant
स्ट्रैप,338,nos,3,18,Smart Watch Strap — Silicone
Car Charger,Rs. 500/-,pcs,,18%,Car Charger — Dual port
type c cable,Rs 247,pcs,8,18 %,"USB-C Cable 1m — 60 W, braided"
power bank,Rs. 1128/-,pc,y,18,Power Bank 10000mAh — 22.5 W
TEMPERED GLASS,₹144,1 pc,,18,Tempered Glass — 9H
HDMI Cable 2m,394,1 pc,8,,HDMI Cable 2m — 4K 60 Hz
नेकबैंड,Rs 914,1 pc,150,18%,Neckband — Magnetic
earphone,400.00,nos,8,18,Wired Earphones — Deep bass
स्पीकर,1957,nos,0,18%,Bluetooth Speaker — IPX7
Wireless Mouse (mouse),Rs 603,piece,25,18%,Wireless Mouse — Silent click
webcam,Rs 1594,pcs,8,18,Webcam 1080p — Auto focus
earbuds,₹1484,nos,150,18,Wireless Earbuds — 30 h playtime
Extension Board (extension),599,nos,25,18%,"Extension Board — 4 socket, surge"
PHONE STAND,250,piece,150,18%,Phone Stand — Foldable
Phone Case,Rs 190,nos,150,18,Phone Case — Shockproof
