ITEM NAME,RATE (Rs),PACK,IN STOCK,GST%,Description
wired earphones,Rs 429,,80,18%,Wired Earphones — Deep bass
BLUETOOTH SPEAKER,2009,pcs,80,18 %,Bluetooth Speaker — IPX7
Keyboard,Rs 951,,40,,Keyboard — Compact
Extension Board,Rs. 635/-,1 pc,yes,18%,"Extension Board — 4 socket, surge"
Memory Card 64GB (sd card),624,pcs,25,18 %,Memory Card 64GB — A1 U3
charger,Rs. 583/-,nos,y,18%,20W Wall Charger — PD 3.0
एचडीएमआई,Rs 369,piece,150,18,HDMI Cable 2m — 4K 60 Hz
type c cable,Rs 257,1 pc,80,18,"USB-C Cable 1m — 60 W, braided"
स्क्रीन गार्ड,Rs 145,piece,yes,18 %,Tempered Glass — 9H
Wireless Mouse,Rs. 617/-,,3,18 %,Wireless Mouse — Silent click
LAPTOP SLEEVE 14IN,Rs 718,pcs,3,18%,Laptop Sleeve 14in — Water resistant
neckband,1126,pc,80,18%,Neckband — Magnetic
car charger,Rs 449,pc,40,18,Car Charger — Dual port
स्ट्रैप,₹291,,40,18%,Smart Watch Strap — Silicone
pendrive,441,piece,40,18%,Pen Drive 32GB — USB 3.0
power bank,Rs 1118,nos,25,18 %,Power Bank 10000mAh — 22.5 W
WEBCAM 1080P,₹1542,1 pc,8,18%,Webcam 1080p — Auto focus
Phone Stand,259,1 pc,15,18,Phone Stand — Foldable
