Product Name,MRP,Qty Unit,Available,Tax %,Description
Extension Board (extension),653,pcs,80,18,"Extension Board — 4 socket, surge"
Smart Watch Strap,₹280,pc,3,18%,Smart Watch Strap — Silicone
Keyboard,920,pcs,3,18,Keyboard — Compact
charger,643.00,,80,,20W Wall Charger — PD 3.0
type c cable,280.00,piece,150,18%,"USB-C Cable 1m — 60 W, braided"
Wireless Earbuds,Rs. 1370/-,pcs,15,18,Wireless Earbuds — 30 h playtime
pendrive,₹387,,150,18,Pen Drive 32GB — USB 3.0
Neckband,1034,pcs,3,18%,Neckband — Magnetic
Bluetooth Speaker,Rs. 2216/-,pcs,25,18%,Bluetooth Speaker — IPX7
earphone,375,,25,,Wired Earphones — Deep bass
Phone Case,216,1 pc,25,,Phone Case — Shockproof
Car Charger,Rs 507,1 pc,15,18%,Car Charger — Dual port
Webcam 1080p,1443,pc,0,18%,Webcam 1080p — Auto focus
screen guard,Rs. 146/-,piece,150,18%,Tempered Glass — 9H
Memory Card 64GB (sd card),Rs. 652/-,pcs,15,18%,Memory Card 64GB — A1 U3
Laptop Sleeve 14in (laptop bag),Rs. 766/-,nos,8,18%,Laptop Sleeve 14in — Water resistant
mouse,Rs 507,,150,18,Wireless Mouse — Silent click
मोबाइल स्टैंड,274,1 pc,25,18,Phone Stand — Foldable
HDMI Cable 2m,Rs. 359/-,1 pc,3,18 %,HDMI Cable 2m — 4K 60 Hz
