Item,Price,Unit,Stock,GST,Description
speaker,1864,1 pc,15,18,Bluetooth Speaker — IPX7
Phone Case (cover),Rs. 224/-,pc,150,18,Phone Case — Shockproof
keyboard,Rs 922,piece,yes,18 %,Keyboard — Compact
Laptop Sleeve 14in,641,nos,15,,Laptop Sleeve 14in — Water resistant
USB-C Cable 1m (type c cable),Rs 283,,150,18,"USB-C Cable 1m — 60 W, braided"
Wireless Earbuds (earbuds),1366.00,,yes,18 %,Wireless Earbuds — 30 h playtime
स्ट्रैप,271.00,1 pc,15,18%,Smart Watch Strap — Silicone
20W Wall Charger (charger),572.00,1 pc,,18%,20W Wall Charger — PD 3.0
Phone Stand,225.00,1 pc,15,18%,Phone Stand — Foldable
tempered glass,Rs 154,1 pc,15,,Tempered Glass — 9H
Wireless Mouse,Rs. 599/-,,80,18%,Wireless Mouse — Silent click
Power Bank 10000mAh,₹1023,pcs,0,,Power Bank 10000mAh — 22.5 W
Extension Board (extension),Rs 578,piece,25,18 %,"Extension Board — 4 socket, surge"
Webcam 1080p,1362.00,pc,0,18 %,Webcam 1080p — Auto focus
car charger,505.00,pcs,0,18 %,Car Charger — Dual port
Memory Card 64GB,649.00,pcs,3,18,Memory Card 64GB — A1 U3
Pen Drive 32GB (pendrive),Rs 364,1 pc,3,,Pen Drive 32GB — USB 3.0
NECKBAND,999,pcs,25,18,Neckband — Magnetic
