Product Name,MRP,Qty Unit,Available,Tax %,Description
laundry basket,Rs 424,pcs,3,12,Laundry Basket — Foldable
Curtains 2pc,926.00,pack of 2,80,5%,Curtains 2pc — Blackout
Steel Tiffin 3-tier,₹567,pcs,40,,Steel Tiffin 3-tier — Leak-proof
dabba,Rs 624,,0,12 %,Storage Jars 6pc — Airtight
Kadhai 3L,Rs 969,,,12%,Kadhai 3L — Tri-ply
Wall Clock,728,piece,y,18%,Wall Clock — Silent sweep
डिनर सेट,2865,pcs,0,12 %,Dinner Set 24pc — Bone china
doormat,₹229,nos,80,12%,Doormat — Anti-slip
केतली,₹986,pcs,3,18,Electric Kettle 1.5L — Auto cut-off
Steel Water Bottle 1L (bottle),443,1 pc,in stock,12%,Steel Water Bottle 1L — Insulated
mixie,Rs 3701,,in stock,18 %,Mixer Grinder 750W — 3 jars
Non-stick Tawa,Rs 729,nos,25,12,Non-stick Tawa — 28 cm
towel,Rs. 729/-,,y,,Towel Set 2pc — 600 GSM
PRESSURE COOKER 5L,₹1841,pcs,150,,Pressure Cooker 5L — Hard anodised
Induction Cooktop,Rs. 2496/-,,0,18,Induction Cooktop — 1800 W
Knife Set 5pc,872.00,pcs,3,12,Knife Set 5pc — Stainless
BEDSHEET DOUBLE,Rs. 913/-,nos,15,,Bedsheet Double — Cotton 180 TC
chopping board,Rs. 324/-,piece,80,12,Chopping Board — Bamboo
मसाला डब्बा,Rs 455,piece,0,12 %,Spice Box — 7 compartments
Casserole 2.5L,Rs. 682/-,pc,25,12,Casserole 2.5L — Insulated
