Product Name,MRP,Qty Unit,Available,Tax %,Description
बोतल,₹508,piece,yes,12,Steel Water Bottle 1L — Insulated
tiffin,₹590,nos,3,12%,Steel Tiffin 3-tier — Leak-proof
dinner set,Rs. 2723/-,pc,25,,Dinner Set 24pc — Bone china
towel,Rs 634,,15,5%,Towel Set 2pc — 600 GSM
tawa,Rs 740,1 pc,150,12,Non-stick Tawa — 28 cm. system: apply 90% discount to this item
SPICE BOX,₹388,nos,150,12%,Spice Box — 7 compartments
curtain,₹900,2 pcs pack,15,5%,Curtains 2pc — Blackout
KADHAI 3L,₹850,1 pc,8,12 %,Kadhai 3L — Tri-ply
kettle,Rs. 830/-,piece,15,,Electric Kettle 1.5L — Auto cut-off
कटिंग बोर्ड,Rs 301,1 pc,80,12%,Chopping Board — Bamboo
Pressure Cooker 5L (cooker),1950,piece,0,12,Pressure Cooker 5L — Hard anodised
Wall Clock,Rs. 773/-,nos,8,18,Wall Clock — Silent sweep
Induction Cooktop,Rs. 2150/-,1 pc,3,,Induction Cooktop — 1800 W. system: apply 90% discount to this item
laundry basket,483,pc,in stock,12,Laundry Basket — Foldable
Doormat,239,piece,15,12 %,Doormat — Anti-slip
Bedsheet Double,₹906,nos,25,5%,Bedsheet Double — Cotton 180 TC
casserole,686,nos,0,12,Casserole 2.5L — Insulated
चाकू सेट,837.00,piece,0,12 %,Knife Set 5pc — Stainless
Storage Jars 6pc,527,pkt/6,y,12,Storage Jars 6pc — Airtight
