Product Name,MRP,Qty Unit,Available,Tax %,Description
curtains 2pc,Rs 829,pkt/2,8,5 %,Curtains 2pc — Blackout
chopping board,₹292,pcs,150,12%,Chopping Board — Bamboo
doormat,Rs 262,nos,80,12 %,Doormat — Anti-slip
Laundry Basket,₹405,pc,25,12,Laundry Basket — Foldable
Electric Kettle 1.5L,950,nos,0,18,Electric Kettle 1.5L — Auto cut-off
Kadhai 3L,Rs 836,pc,15,12%,Kadhai 3L — Tri-ply
Mixer Grinder 750W,Rs. 3537/-,,80,,Mixer Grinder 750W — 3 jars
Pressure Cooker 5L,Rs. 2074/-,pcs,0,12,Pressure Cooker 5L — Hard anodised
WALL CLOCK,₹781,1 pc,3,,Wall Clock — Silent sweep
डिनर सेट,Rs. 2483/-,1 pc,0,,Dinner Set 24pc — Bone china
Knife Set 5pc,878,piece,80,12,Knife Set 5pc — Stainless
tiffin,590,piece,80,12,Steel Tiffin 3-tier — Leak-proof
Towel Set 2pc,589.00,pkt/2,3,5%,Towel Set 2pc — 600 GSM
Casserole 2.5L,Rs. 681/-,pcs,3,12 %,Casserole 2.5L — Insulated
bottle,472,,8,12,Steel Water Bottle 1L — Insulated
Spice Box,372,pcs,3,12,Spice Box — 7 compartments
tawa,₹708,pcs,3,12%,Non-stick Tawa — 28 cm
induction,Rs 2472,nos,15,18 %,Induction Cooktop — 1800 W
