naam,rate,unit,stock,gst,Description
clock,724,pc,25,18,Wall Clock — Silent sweep
Towel Set 2pc,648,pack of 2,3,,Towel Set 2pc — 600 GSM
Non-stick Tawa (tawa),659,nos,0,12,Non-stick Tawa — 28 cm
कैसरोल,Rs. 566/-,piece,15,,Casserole 2.5L — Insulated
Steel Tiffin 3-tier (tiffin),547,pc,0,12%,Steel Tiffin 3-tier — Leak-proof
Curtains 2pc,Rs. 828/-,2 pcs pack,150,5,Curtains 2pc — Blackout
kettle,862,1 pc,0,,Electric Kettle 1.5L — Auto cut-off
Doormat,Rs. 285/-,,0,12%,Doormat — Anti-slip
कटिंग बोर्ड,272.00,,15,12,Chopping Board — Bamboo
Bedsheet Double,Rs 1089,,8,5 %,Bedsheet Double — Cotton 180 TC
Steel Water Bottle 1L,501.00,piece,150,12%,Steel Water Bottle 1L — Insulated
Kadhai 3L,Rs 830,pc,,12%,Kadhai 3L — Tri-ply
cooker,Rs. 1765/-,,0,12,Pressure Cooker 5L — Hard anodised
masala dabba,438,piece,,12,Spice Box — 7 compartments
dabba,575.00,6 pcs pack,150,12,Storage Jars 6pc — Airtight
Knife Set 5pc,902.00,1 pc,25,12%,Knife Set 5pc — Stainless
इंडक्शन,2096,pcs,0,18,Induction Cooktop — 1800 W
dinner set,Rs. 2512/-,nos,25,12 %,Dinner Set 24pc — Bone china
