ITEM NAME,RATE (Rs),PACK,IN STOCK,GST%,Description
Kadhai 3L (kadai),Rs 866,pc,25,12,Kadhai 3L — Tri-ply
curtain,Rs 831,pack of 2,0,5%,Curtains 2pc — Blackout
Dinner Set 24pc (dinner set),Rs. 2644/-,pcs,8,,Dinner Set 24pc — Bone china
chopping board,284.00,nos,15,12 %,Chopping Board — Bamboo
Knife Set 5pc,₹836,piece,3,12%,Knife Set 5pc — Stainless
induction,₹2201,nos,150,18,Induction Cooktop — 1800 W
bedsheet,Rs. 913/-,1 pc,,5 %,Bedsheet Double — Cotton 180 TC
Laundry Basket (laundry basket),Rs 506,pc,3,12 %,Laundry Basket — Foldable
Pressure Cooker 5L (cooker),Rs 2117,,40,12%,Pressure Cooker 5L — Hard anodised
NON-STICK TAWA,Rs 641,pcs,15,12,Non-stick Tawa — 28 cm
टिफिन,₹657,,150,12%,Steel Tiffin 3-tier — Leak-proof
casserole 2.5l,Rs 573,nos,,12,Casserole 2.5L — Insulated
masala dabba,442,pc,y,12%,Spice Box — 7 compartments
Electric Kettle 1.5L,₹891,piece,25,18,Electric Kettle 1.5L — Auto cut-off
towel set 2pc,604.00,pkt/2,40,5%,Towel Set 2pc — 600 GSM
wall clock,₹778,,y,18 %,Wall Clock — Silent sweep
doormat,₹241,piece,40,12,Doormat — Anti-slip
डब्बा,613,pack of 6,3,12,Storage Jars 6pc — Airtight
Steel Water Bottle 1L (bottle),Rs. 433/-,pcs,8,12%,Steel Water Bottle 1L — Insulated
