Item,Price,Unit,Stock,GST,Description
Towel Set 2pc,Rs 688,,80,5,Towel Set 2pc — 600 GSM
Non-stick Tawa (tawa),597,nos,80,12%,Non-stick Tawa — 28 cm
bottle,Rs 462,1 pc,25,,Steel Water Bottle 1L — Insulated
knife set,743,,40,12,Knife Set 5pc — Stainless
CURTAINS 2PC,982.00,pkt/2,3,5,Curtains 2pc — Blackout
dabba,495.00,,0,12,Storage Jars 6pc — Airtight
Pressure Cooker 5L,₹1953,pc,8,12%,Pressure Cooker 5L — Hard anodised
KADHAI 3L,889.00,1 pc,y,12,Kadhai 3L — Tri-ply
Dinner Set 24pc,2634.00,1 pc,0,,Dinner Set 24pc — Bone china
kettle,1023.00,piece,40,18%,Electric Kettle 1.5L — Auto cut-off
Doormat (doormat),Rs 234,nos,80,12%,Doormat — Anti-slip
chopping board,338.00,piece,0,12,Chopping Board — Bamboo
Spice Box (masala dabba),405,pc,150,12,Spice Box — 7 compartments
Induction Cooktop (induction),₹2312,nos,40,18%,Induction Cooktop — 1800 W
Bedsheet Double,Rs. 924/-,pc,150,5,Bedsheet Double — Cotton 180 TC
Laundry Basket,Rs 446,pc,3,12,Laundry Basket — Foldable
steel tiffin 3-tier,Rs. 648/-,,40,12%,Steel Tiffin 3-tier — Leak-proof
casserole,608,pc,25,12 %,Casserole 2.5L — Insulated
