naam,rate,unit,stock,gst,Description
casserole,677.00,,40,12,Casserole 2.5L — Insulated
pressure cooker 5l,2076,pc,80,12%,Pressure Cooker 5L — Hard anodised
clock,Rs 630,nos,3,18 %,Wall Clock — Silent sweep
curtains 2pc,1020,pkt/2,40,,Curtains 2pc — Blackout
chopping board,₹300,pc,y,12,Chopping Board — Bamboo
dabba,Rs 519,pack of 6,25,12 %,Storage Jars 6pc — Airtight
Laundry Basket,₹479,1 pc,yes,12 %,Laundry Basket — Foldable
तौलिया,Rs. 586/-,2 pcs pack,150,5 %,Towel Set 2pc — 600 GSM
Electric Kettle 1.5L,Rs. 991/-,piece,15,18%,Electric Kettle 1.5L — Auto cut-off
KADHAI 3L,₹866,,25,12%,Kadhai 3L — Tri-ply
Steel Tiffin 3-tier,Rs. 662/-,pc,15,12,Steel Tiffin 3-tier — Leak-proof
Dinner Set 24pc,Rs. 2680/-,piece,150,,Dinner Set 24pc — Bone china
Mixer Grinder 750W,Rs 3594,1 pc,0,18,Mixer Grinder 750W — 3 jars
Spice Box (masala dabba),₹371,pcs,150,12 %,Spice Box — 7 compartments
चाकू सेट,Rs. 829/-,piece,0,12,Knife Set 5pc — Stainless
Doormat,277.00,nos,80,12%,Doormat — Anti-slip
bedsheet,916.00,1 pc,25,5 %,Bedsheet Double — Cotton 180 TC
Induction Cooktop,Rs 2347,piece,0,18 %,Induction Cooktop — 1800 W
