Product Name,MRP,Qty Unit,Available,Tax %,Description
electric kettle 1.5l,912,pc,25,18,Electric Kettle 1.5L — Auto cut-off
Steel Tiffin 3-tier,Rs. 666/-,piece,150,12%,Steel Tiffin 3-tier — Leak-proof
पायदान,₹253,piece,80,12 %,Doormat — Anti-slip
casserole,Rs 632,1 pc,8,12,Casserole 2.5L — Insulated
SPICE BOX,₹369,pc,40,,Spice Box — 7 compartments
curtain,Rs. 996/-,2 pcs pack,40,5,Curtains 2pc — Blackout
Towel Set 2pc (towel),650.00,2 pcs pack,3,5%,Towel Set 2pc — 600 GSM
Laundry Basket (laundry basket),498.00,pcs,15,12%,Laundry Basket — Foldable
bedsheet,937.00,pc,15,5 %,Bedsheet Double — Cotton 180 TC
induction,2302.00,,15,18%,Induction Cooktop — 1800 W
storage jars 6pc,Rs. 584/-,6 pcs pack,yes,12,Storage Jars 6pc — Airtight
dinner set,2512,pcs,25,12%,Dinner Set 24pc — Bone china
Mixer Grinder 750W (mixie),Rs 3061,nos,8,18%,Mixer Grinder 750W — 3 jars
cooker,2032,piece,0,12%,Pressure Cooker 5L — Hard anodised
clock,₹660,1 pc,15,18 %,Wall Clock — Silent sweep
chopping board,Rs 327,nos,150,12 %,Chopping Board — Bamboo
kadai,987,,8,12 %,Kadhai 3L — Tri-ply
चाकू सेट,Rs 839,nos,in stock,12,Knife Set 5pc — Stainless
Non-stick Tawa (tawa),661.00,piece,40,12 %,Non-stick Tawa — 28 cm
