Item,Price,Unit,Stock,GST,Description
Kraft Paper Roll,Rs 72,Kg,80,12%,Kraft Paper Roll — 120 GSM
Corrugated Box 12x10x8,Rs 20,pc,25,18 %,Corrugated Box 12x10x8 — 3-ply
Pizza Box 10in,Rs 276,pack of 25,8,18%,Pizza Box 10in — Printed
CORRUGATED BOX 18X14X10,₹36,pcs,25,18 %,Corrugated Box 18x14x10 — 5-ply
food box,251,pkt/50,25,18%,Food Container 500ml — Microwave safe
fragile tape,Rs 63,1 pc,15,18,Fragile Tape — Printed
cardboard,Rs 26,nos,0,12 %,Cardboard Sheet — 3 mm
paper cup,204,pack of 100,40,18%,Paper Cups 250ml — Double wall
MAILER BOX 8X6X3,₹23,pcs,40,18,Mailer Box 8x6x3 — Kraft
Tissue Paper Sheets,161,,15,18 %,Tissue Paper Sheets — 17 GSM
BOPP TAPE 48MM,Rs 44,pc,25,18%,BOPP Tape 48mm — 65 m
Paper Bag Medium (paper bag),Rs 268,,in stock,18%,Paper Bag Medium — Twisted handle
बबल रैप,Rs 622,pc,3,18,Bubble Wrap Roll 100m — 10 mm bubble
एयर पिलो,Rs. 400/-,200 pcs pack,40,18 %,Air Pillow Bags — Pre-inflated
courier bag,Rs. 333/-,pack of 100,3,18 %,Courier Bag 10x12 — Tamper-proof
Thermocol Sheet,Rs 61,1 pc,25,18%,Thermocol Sheet — 25 mm
STRETCH FILM 1KG,₹192,nos,80,18%,Stretch Film 1kg — 23 micron
Label Sticker A6 (shipping label),237,pack of 500,3,,Label Sticker A6 — Thermal
Strapping Roll,Rs 486,nos,80,18%,Strapping Roll — PP 12 mm
