naam,rate,unit,stock,gst,Description
Cling Film 300m,196.00,pc,0,18,Cling Film 300m — Food grade
Mailer Box 8x6x3,24.00,1 pc,40,18 %,Mailer Box 8x6x3 — Kraft
Air Pillow Bags,₹390,200 pcs pack,25,18 %,Air Pillow Bags — Pre-inflated
लेबल,Rs. 247/-,500 pcs pack,3,18%,Label Sticker A6 — Thermal
कार्टन,Rs. 17/-,nos,3,18,Corrugated Box 12x10x8 — 3-ply
Paper Cups 250ml,₹168,pack of 100,40,18%,Paper Cups 250ml — Double wall
Cardboard Sheet (cardboard),30.00,piece,y,12%,Cardboard Sheet — 3 mm
Stretch Film 1kg,Rs 194,nos,150,18,Stretch Film 1kg — 23 micron
paper bag,₹307,pack of 50,80,18%,Paper Bag Medium — Twisted handle
patti,459.00,piece,80,18,Strapping Roll — PP 12 mm
BOPP Tape 48mm,₹47,,8,18 %,BOPP Tape 48mm — 65 m
Food Container 500ml (food box),Rs 273,pack of 50,15,18 %,Food Container 500ml — Microwave safe
Fragile Tape (fragile tape),62,piece,8,18 %,Fragile Tape — Printed
bubble wrap,725,nos,0,18 %,Bubble Wrap Roll 100m — 10 mm bubble
Pizza Box 10in (pizza box),Rs. 316/-,,0,18%,Pizza Box 10in — Printed
courier bag,Rs. 319/-,pkt/100,25,18%,Courier Bag 10x12 — Tamper-proof
KRAFT PAPER ROLL,Rs 65,kg,,12,Kraft Paper Roll — 120 GSM
Tissue Paper Sheets,160,,40,18,Tissue Paper Sheets — 17 GSM
