naam,rate,unit,stock,gst,Description
Stretch Film 1kg,₹240,piece,15,18,Stretch Film 1kg — 23 micron
Pizza Box 10in,Rs 338,pack of 25,150,18,Pizza Box 10in — Printed
paper cups 250ml,Rs. 203/-,pack of 100,150,18 %,Paper Cups 250ml — Double wall
thermocol,Rs 52,,150,18%,Thermocol Sheet — 25 mm
Air Pillow Bags,₹446,pack of 200,25,,Air Pillow Bags — Pre-inflated
PAPER BAG MEDIUM,Rs 276,pkt/50,150,18 %,Paper Bag Medium — Twisted handle
Fragile Tape,57,pcs,0,18,Fragile Tape — Printed
mailer box,22,nos,25,18%,Mailer Box 8x6x3 — Kraft
Cardboard Sheet (cardboard),25.00,,3,12%,Cardboard Sheet — 3 mm
CORRUGATED BOX 12X10X8,16.00,,y,18,Corrugated Box 12x10x8 — 3-ply
BOPP Tape 48mm,₹46,pcs,15,18%,BOPP Tape 48mm — 65 m
kraft paper,Rs. 66/-,kg,0,12 %,Kraft Paper Roll — 120 GSM
label sticker a6,Rs 285,pkt/500,80,18 %,Label Sticker A6 — Thermal
bubble wrap,Rs. 624/-,nos,80,18 %,Bubble Wrap Roll 100m — 10 mm bubble
Food Container 500ml (food box),247.00,50 pcs pack,0,18%,Food Container 500ml — Microwave safe
Strapping Roll,459,,80,18,Strapping Roll — PP 12 mm
courier bag,Rs 362,pack of 100,80,18 %,Courier Bag 10x12 — Tamper-proof
tissue,Rs. 143/-,pack of 100,80,18 %,Tissue Paper Sheets — 17 GSM
