Product Name,MRP,Qty Unit,Available,Tax %,Description
air pillow,Rs 432,pkt/200,8,,Air Pillow Bags — Pre-inflated
Pizza Box 10in,296,25 pcs pack,15,18 %,Pizza Box 10in — Printed
food container 500ml,229,50 pcs pack,0,18,Food Container 500ml — Microwave safe
Mailer Box 8x6x3 (mailer box),21,nos,0,18%,Mailer Box 8x6x3 — Kraft
tape,Rs. 41/-,nos,25,18,BOPP Tape 48mm — 65 m
Paper Cups 250ml,185,pack of 100,25,18 %,Paper Cups 250ml — Double wall
Courier Bag 10x12,Rs 332,100 pcs pack,150,18%,Courier Bag 10x12 — Tamper-proof
Bubble Wrap Roll 100m,Rs 650,1 pc,3,18,Bubble Wrap Roll 100m — 10 mm bubble
Tissue Paper Sheets (tissue),Rs 148,,15,18,Tissue Paper Sheets — 17 GSM
carton,20,,80,18,Corrugated Box 12x10x8 — 3-ply
patti,Rs 503,piece,80,18 %,Strapping Roll — PP 12 mm
Kraft Paper Roll (kraft paper),Rs 70,kg,yes,12,Kraft Paper Roll — 120 GSM
Stretch Film 1kg (stretch film),₹208,1 pc,80,18%,Stretch Film 1kg — 23 micron
लेबल,Rs. 270/-,pkt/500,0,18%,Label Sticker A6 — Thermal
Paper Bag Medium,289.00,50 pcs pack,15,,Paper Bag Medium — Twisted handle
Corrugated Box 18x14x10,₹37,pcs,8,,Corrugated Box 18x14x10 — 5-ply
fragile tape,Rs. 63/-,nos,40,,Fragile Tape — Printed
Thermocol Sheet (thermocol),57.00,nos,0,18%,Thermocol Sheet — 25 mm
Cardboard Sheet,₹25,nos,25,12,Cardboard Sheet — 3 mm
CLING FILM 300M,Rs 201,1 pc,80,18%,Cling Film 300m — Food grade
