naam,rate,unit,stock,gst,Description
cling film,Rs. 209/-,pc,25,18%,Cling Film 300m — Food grade
Mailer Box 8x6x3,₹20,1 pc,40,18,Mailer Box 8x6x3 — Kraft
Bubble Wrap Roll 100m (bubble wrap),641,pc,150,18%,Bubble Wrap Roll 100m — 10 mm bubble
Kraft Paper Roll (kraft paper),Rs 62,kg,150,12 %,Kraft Paper Roll — 120 GSM
टेप,51.00,piece,80,18 %,BOPP Tape 48mm — 65 m
Label Sticker A6,Rs 268,pkt/500,15,18,Label Sticker A6 — Thermal
paper cup,Rs 169,,3,18,Paper Cups 250ml — Double wall
courier bag,334,pack of 100,in stock,18,Courier Bag 10x12 — Tamper-proof
Paper Bag Medium,₹281,pkt/50,y,18,Paper Bag Medium — Twisted handle
tissue,Rs 137,100 pcs pack,3,18 %,Tissue Paper Sheets — 17 GSM
corrugated box 12x10x8,Rs 17,1 pc,25,18%,Corrugated Box 12x10x8 — 3-ply
Food Container 500ml (food box),219,,15,18%,Food Container 500ml — Microwave safe
air pillow,Rs 429,,40,18 %,Air Pillow Bags — Pre-inflated
cardboard,₹29,pc,40,12,Cardboard Sheet — 3 mm
स्ट्रेच फिल्म,223,1 pc,25,18,Stretch Film 1kg — 23 micron
Fragile Tape,58,1 pc,8,,Fragile Tape — Printed
big carton,36,,3,18,Corrugated Box 18x14x10 — 5-ply
thermocol sheet,58.00,1 pc,,18%,Thermocol Sheet — 25 mm
Strapping Roll,Rs 452,pc,3,18%,Strapping Roll — PP 12 mm
