Product Name,MRP,Qty Unit,Available,Tax %,Description
pizza box,Rs. 321/-,25 pcs pack,yes,18,Pizza Box 10in — Printed
क्राफ्ट पेपर,₹78,kg,80,12,Kraft Paper Roll — 120 GSM
food box,253,pack of 50,15,18%,Food Container 500ml — Microwave safe
carton,Rs 19,,80,18 %,Corrugated Box 12x10x8 — 3-ply
Courier Bag 10x12,₹317,pkt/100,3,18,Courier Bag 10x12 — Tamper-proof
paper cups 250ml,Rs 196,pkt/100,0,18,Paper Cups 250ml — Double wall
shipping label,₹284,,in stock,18 %,Label Sticker A6 — Thermal
thermocol sheet,57,nos,25,18%,Thermocol Sheet — 25 mm
Stretch Film 1kg,Rs. 196/-,1 pc,25,18,Stretch Film 1kg — 23 micron
tissue,Rs. 139/-,pkt/100,80,18%,Tissue Paper Sheets — 17 GSM
STRAPPING ROLL,454,piece,150,18%,Strapping Roll — PP 12 mm
air pillow,Rs 413,200 pcs pack,25,18,Air Pillow Bags — Pre-inflated
Fragile Tape,68,nos,yes,18,Fragile Tape — Printed
Corrugated Box 18x14x10 (big carton),₹33,1 pc,80,18 %,Corrugated Box 18x14x10 — 5-ply
cardboard,26.00,pc,y,12 %,Cardboard Sheet — 3 mm
Mailer Box 8x6x3,22.00,1 pc,40,18%,Mailer Box 8x6x3 — Kraft
Paper Bag Medium,Rs. 255/-,,15,18,Paper Bag Medium — Twisted handle
cling film 300m,₹187,nos,3,18%,Cling Film 300m — Food grade
Bubble Wrap Roll 100m,₹734,,15,18 %,Bubble Wrap Roll 100m — 10 mm bubble
