naam,rate,unit,stock,gst,Description
tape,45.00,pcs,0,18 %,BOPP Tape 48mm — 65 m
PIZZA BOX 10IN,Rs. 321/-,pkt/25,yes,18 %,Pizza Box 10in — Printed
Label Sticker A6,Rs. 263/-,500 pcs pack,40,18 %,Label Sticker A6 — Thermal
टिशू,₹168,,0,18,Tissue Paper Sheets — 17 GSM
CARDBOARD SHEET,28,pc,25,12%,Cardboard Sheet — 3 mm
पेपर कप,Rs 175,100 pcs pack,0,18%,Paper Cups 250ml — Double wall
Mailer Box 8x6x3 (mailer box),21.00,,150,18 %,Mailer Box 8x6x3 — Kraft
थर्मोकोल,Rs. 60/-,pcs,3,18,Thermocol Sheet — 25 mm
CORRUGATED BOX 12X10X8,₹18,1 pc,3,18%,Corrugated Box 12x10x8 — 3-ply
क्लिंग फिल्म,Rs 198,pc,15,18 %,Cling Film 300m — Food grade
Food Container 500ml (food box),Rs 239,50 pcs pack,3,18,Food Container 500ml — Microwave safe
courier bag,₹313,100 pcs pack,80,,Courier Bag 10x12 — Tamper-proof
Strapping Roll,Rs. 490/-,pc,8,18%,Strapping Roll — PP 12 mm
Bubble Wrap Roll 100m (bubble wrap),Rs 713,piece,80,18,Bubble Wrap Roll 100m — 10 mm bubble
CORRUGATED BOX 18X14X10,Rs. 35/-,1 pc,80,18%,Corrugated Box 18x14x10 — 5-ply
Stretch Film 1kg,Rs 197,,40,,Stretch Film 1kg — 23 micron
fragile tape,63.00,1 pc,40,18,Fragile Tape — Printed
Paper Bag Medium,Rs. 279/-,,8,18,Paper Bag Medium — Twisted handle
KRAFT PAPER ROLL,64.00,,150,12,Kraft Paper Roll — 120 GSM
Air Pillow Bags (air pillow),Rs. 428/-,200 pcs pack,3,18 %,Air Pillow Bags — Pre-inflated
