naam,rate,unit,stock,gst,Description
Pizza Box 10in,Rs. 290/-,25 pcs pack,80,18%,Pizza Box 10in — Printed
Thermocol Sheet,Rs 52,1 pc,80,18 %,Thermocol Sheet — 25 mm
bubble wrap,Rs. 617/-,pc,8,18,Bubble Wrap Roll 100m — 10 mm bubble
PAPER CUPS 250ML,205,,25,18,Paper Cups 250ml — Double wall
Paper Bag Medium,306,,3,18%,Paper Bag Medium — Twisted handle
fragile tape,Rs. 57/-,pcs,15,18,Fragile Tape — Printed
Cardboard Sheet (cardboard),Rs 29,pc,80,12,Cardboard Sheet — 3 mm
AIR PILLOW BAGS,Rs 444,200 pcs pack,3,18 %,Air Pillow Bags — Pre-inflated
carton,Rs 17,pcs,3,18,Corrugated Box 12x10x8 — 3-ply
shipping label,260,pack of 500,80,18 %,Label Sticker A6 — Thermal
food box,254.00,50 pcs pack,150,18%,Food Container 500ml — Microwave safe
Strapping Roll (patti),Rs 475,pc,3,18 %,Strapping Roll — PP 12 mm
BOPP Tape 48mm,Rs 47,nos,15,18%,BOPP Tape 48mm — 65 m
Stretch Film 1kg,Rs 192,nos,8,,Stretch Film 1kg — 23 micron
mailer box,21,piece,15,,Mailer Box 8x6x3 — Kraft
Cling Film 300m,174,pcs,40,18,Cling Film 300m — Food grade
कूरियर बैग,358.00,100 pcs pack,15,,Courier Bag 10x12 — Tamper-proof
Kraft Paper Roll,Rs 70,kg,0,12,Kraft Paper Roll — 120 GSM
Tissue Paper Sheets,167,100 pcs pack,80,18%,Tissue Paper Sheets — 17 GSM
