naam,rate,unit,stock,gst,Description
BOPP TAPE 48MM,Rs. 47/-,pcs,3,18,BOPP Tape 48mm — 65 m
Thermocol Sheet,Rs 63,1 pc,8,18,Thermocol Sheet — 25 mm
Corrugated Box 12x10x8,₹17,1 pc,8,18 %,Corrugated Box 12x10x8 — 3-ply
Strapping Roll (patti),Rs. 442/-,pc,150,,Strapping Roll — PP 12 mm
courier bag 10x12,313.00,pkt/100,0,18 %,Courier Bag 10x12 — Tamper-proof
Air Pillow Bags,Rs 441,200 pcs pack,in stock,18%,Air Pillow Bags — Pre-inflated
FOOD CONTAINER 500ML,Rs. 246/-,50 pcs pack,150,18,Food Container 500ml — Microwave safe
PAPER CUPS 250ML,Rs 170,pkt/100,15,18%,Paper Cups 250ml — Double wall
Bubble Wrap Roll 100m (bubble wrap),Rs. 718/-,1 pc,0,18%,Bubble Wrap Roll 100m — 10 mm bubble
STRETCH FILM 1KG,Rs 217,nos,yes,18%,Stretch Film 1kg — 23 micron
Paper Bag Medium,287.00,pkt/50,25,18 %,Paper Bag Medium — Twisted handle
fragile tape,Rs 55,1 pc,80,,Fragile Tape — Printed
shipping label,240,pack of 500,40,18%,Label Sticker A6 — Thermal
CARDBOARD SHEET,30.00,nos,3,12%,Cardboard Sheet — 3 mm
Corrugated Box 18x14x10,₹37,nos,15,18 %,Corrugated Box 18x14x10 — 5-ply
Tissue Paper Sheets,₹172,100 pcs pack,3,18,Tissue Paper Sheets — 17 GSM
kraft paper,₹67,Kg,in stock,12 %,Kraft Paper Roll — 120 GSM
mailer box,24,1 pc,40,18 %,Mailer Box 8x6x3 — Kraft
क्लिंग फिल्म,200,1 pc,40,18,Cling Film 300m — Food grade
Pizza Box 10in,313.00,,80,18%,Pizza Box 10in — Printed
